"split","class_id","class_name","image_count"
"test","1","punching_hole","12"
"test","2","welding_line","22"
"test","3","crescent_gap","15"
"test","4","water_spot","40"
"test","5","oil_spot","32"
"test","6","silk_spot","98"
"test","7","inclusion","26"
"test","8","rolled_pit","6"
"test","9","crease","8"
"test","10","waist_folding","22"
"train","1","punching_hole","51"
"train","2","welding_line","99"
"train","3","crescent_gap","70"
"train","4","water_spot","179"
"train","5","oil_spot","147"
"train","6","silk_spot","453"
"train","7","inclusion","115"
"train","8","rolled_pit","21"
"train","9","crease","34"
"train","10","waist_folding","97"
"val","1","punching_hole","10"
"val","2","welding_line","21"
"val","3","crescent_gap","15"
"val","4","water_spot","38"
"val","5","oil_spot","31"
"val","6","silk_spot","97"
"val","7","inclusion","24"
"val","8","rolled_pit","4"
"val","9","crease","7"
"val","10","waist_folding","20"
